2008|Tisiphone|REGULAR|MEDIUM|50|7.50b|75.00m|150.00m|150.00m|675.00m|(10 50),(50 100),(100 250),(250 500),(500 1000),(1000 2000)
2009|Grimsly|REGULAR|MEDIUM|50|144.00m|1.44m|2.88m|360.00k|24.48m|(10 25),(50 50),(100 100),(250 250),(500 500),(1000 1000),(5000 2000)
2010|Riddler|REGULAR|MEDIUM|50|8.00b|80.00m|160.00m|100.00m|1.00b|(10 25),(50 50),(100 100),(250 250),(500 500),(1000 1000),(5000 2000)
2011|Baroness|REGULAR|MEDIUM|50|136.00m|1.36m|2.72m|340.00k|23.12m|(10 25),(50 50),(100 100),(250 250),(500 500),(1000 1000),(5000 2000)
2012|Hurkus|REGULAR|MEDIUM|50|11.25b|112.50m|225.00m|300.00m|900.00m|(10 25),(50 50),(100 100),(250 250),(500 500),(1000 1000),(5000 2000)
2013|Gulkinari|REGULAR|MEDIUM|50|15.00b|150.00m|300.00m|225.00m|1.50b|(10 25),(50 50),(100 100),(250 250),(500 500),(1000 1000),(5000 2000)
2014|Korxun|REGULAR|MEDIUM|50|20.00b|200.00m|400.00m|300.00m|5.00b|(10 25),(50 50),(100 100),(250 250),(500 500),(1000 1000),(5000 2000)
2015|Ragunt|REGULAR|MEDIUM|50|25.50b|255.00m|510.00m|225.00m|5.00b|(10 25),(50 50),(100 100),(250 250),(500 500),(1000 1000),(5000 2000)
2016|Shadow|REGULAR|MEDIUM|50|35.00b|350.00m|700.00m|500.00m|1.00b|(10 25),(50 50),(100 100),(250 250),(500 500),(1000 1000),(5000 2000)
2017|Rudaru|REGULAR|MEDIUM|50|36.75b|367.50m|735.00m|750.00m|1.50b|(10 25),(50 50),(100 100),(250 250),(500 500),(1000 1000),(5000 2000)
2018|Doppelganger|REGULAR|MEDIUM|50|48.00b|480.00m|960.00m|1.00b|5.00b|(10 50),(50 100),(100 250),(250 500),(500 1000),(1000 2000)
2019|Yule Punishment|REGULAR|MEDIUM|50|120.00b|1.20b|2.40b|3.00b|10.00b|(10 25),(50 50),(100 100),(250 250),(500 500),(1000 1000),(5000 2000)
2020|Shade|REGULAR|MEDIUM|40|200.00b|2.50b|5.00b|2.50b|15.00b|(10 25),(50 50),(100 100),(250 250),(500 500),(1000 1000),(5000 2000)
2021|Ascendant's Echo|REGULAR|MEDIUM|50|300.00b|3.00b|6.00b|3.00b|18.00b|(10 25),(50 50),(100 100),(250 250),(500 500),(1000 1000),(5000 2000)
2022|Dryads|REGULAR|MEDIUM|50|320.00b|3.20b|6.40b|5.00b|30.00b|(10 25),(50 50),(100 100),(250 250),(500 500),(1000 1000),(5000 2000)
2023|Lost|REGULAR|MEDIUM|50|500.00b|5.00b|10.00b|7.50b|20.00b|(10 25),(50 50),(100 100),(250 250),(500 500),(1000 1000),(5000 2000)
2024|BHLT|REGULAR|MEDIUM|50|5.00t|50.00b|100.00b|100.00b|900.00b|(10 25),(50 50),(100 100),(250 250),(500 500),(1000 1000),(5000 2000)
2025|Deadly BHLT|REGULAR|MEDIUM|200|600.00t|1.50t|3.00t|5.00t|100.00t|(10 25),(50 50),(100 100),(250 250),(500 500),(1000 1000),(5000 2000)
2026|Thurmavus|REGULAR|MEDIUM|100|5.859375t|29.296875b|58.59375b|30.00b|1.00t|(10 25),(50 50),(100 100),(250 250),(500 500),(1000 1000),(5000 2000)
2027|Workshop|REGULAR|MEDIUM|125|650.00t|2.60t|5.20t|10.00t|30.00t|(10 25),(50 50),(100 100),(250 250),(500 500),(1000 1000),(5000 2000)
2028|Firecracker|REGULAR|MEDIUM|75|633.75t|4.225t|8.45t|5.00t|70.00t|(10 25),(50 50),(100 100),(250 250),(500 500),(1000 1000),(5000 2000)
2029|Zranras|REGULAR|MEDIUM|75|828.75t|5.525t|11.05t|68.00t|98.00t|(10 25),(50 50),(100 100),(250 250),(500 500),(1000 1000),(5000 2000)
